Holes,Strengths
AKs,0.6678
AQs,0.6646
AJs,0.6409
ATs,0.64895
A9s,0.6275
A8s,0.61
A7s,0.6159
A6s,0.59625
A5s,0.60255
A4s,0.5969
A3s,0.5873
A2s,0.57515
KQs,0.6324
KJs,0.62645
KTs,0.61005
K9s,0.5992
K8s,0.58885
K7s,0.5815
K6s,0.5695
K5s,0.55735
K4s,0.5428
K3s,0.5356
K2s,0.53525
QJs,0.60695
QTs,0.59225
Q9s,0.5827
Q8s,0.5644
Q7s,0.5468
Q6s,0.54325
Q5s,0.5231
Q4s,0.5105
Q3s,0.50185
Q2s,0.5092
JTs,0.5745
J9s,0.56065
J8s,0.5446
J7s,0.5296
J6s,0.5031
J5s,0.4945
J4s,0.4925
J3s,0.4826
J2s,0.4785
T9s,0.53945
T8s,0.53055
T7s,0.5064
T6s,0.4927
T5s,0.46915
T4s,0.46645
T3s,0.4651
T2s,0.4432
98s,0.51025
97s,0.486
96s,0.47295
95s,0.45255
94s,0.4369
93s,0.43695
92s,0.42405
87s,0.4797
86s,0.4605
85s,0.44965
84s,0.42615
83s,0.4081
82s,0.4007
76s,0.4535
75s,0.4427
74s,0.42425
73s,0.3969
72s,0.38545
65s,0.4331
64s,0.4107
63s,0.40625
62s,0.3771
54s,0.41715
53s,0.3989
52s,0.38365
43s,0.38585
42s,0.36995
32s,0.3577
AKo,0.6615
AQo,0.63935
AJo,0.63215
ATo,0.6369
A9o,0.6052
A8o,0.58955
A7o,0.58495
A6o,0.57965
A5o,0.57555
A4o,0.56825
A3o,0.561
A2o,0.5468
KQo,0.61225
KJo,0.60565
KTo,0.58485
K9o,0.5796
K8o,0.55725
K7o,0.55635
K6o,0.53585
K5o,0.53475
K4o,0.52785
K3o,0.50945
K2o,0.4991
QJo,0.58255
QTo,0.57175
Q9o,0.556
Q8o,0.53775
Q7o,0.51935
Q6o,0.51145
Q5o,0.4926
Q4o,0.49215
Q3o,0.4735
Q2o,0.4743
JTo,0.5543
J9o,0.5315
J8o,0.5175
J7o,0.49385
J6o,0.4828
J5o,0.4739
J4o,0.46215
J3o,0.45365
J2o,0.44145
T9o,0.51645
T8o,0.49575
T7o,0.47465
T6o,0.4579
T5o,0.44775
T4o,0.4326
T3o,0.42695
T2o,0.4265
98o,0.4857
97o,0.45885
96o,0.4492
95o,0.42535
94o,0.39865
93o,0.4014
92o,0.40565
87o,0.4497
86o,0.4446
85o,0.4182
84o,0.3899
83o,0.3749
82o,0.36255
76o,0.4211
75o,0.40305
74o,0.3856
73o,0.36165
72o,0.34115
65o,0.4036
64o,0.3856
63o,0.36045
62o,0.3398
54o,0.3789
53o,0.3642
52o,0.34345
43o,0.3478
42o,0.3407
32o,0.32235
AAo,0.85025
KKo,0.8189
QQo,0.80455
JJo,0.77125
TTo,0.75055
99o,0.7095
88o,0.6855
77o,0.6537
66o,0.63685
55o,0.6063
44o,0.57735
33o,0.53335
22o,0.49625
